20230116	13:57:49	519ccdd4-af1c-4f50-9d95-f4c7b4974952	/	GET
20230116	13:57:49	b5b5657e-7e19-4434-8c93-1e434b7e7291	/css/style.css	GET
20230116	13:57:49	e5dc9e6b-afea-448a-b1eb-33b5c70ea01c	/favicon.ico	GET
20230116	13:57:56	d7d4b94a-b3ef-4fd3-8828-071cc01337e3	/dat	GET
20230116	13:57:56	4f756c1f-07cf-4465-b041-4b3097cd9cb2	/css/style.css	GET
20230116	13:58:04	d4dc1ef1-6f4b-4eeb-880d-5d11a3aca948	/data	GET
20230116	13:58:04	f9462c45-a6c3-47d0-8b24-62507c069e21	/css/style.css	GET
20230116	13:58:08	f8fcd54b-bcba-47d8-930b-89843dc1d204	/data.json	GET
20230116	13:58:08	2f5c866e-c735-4db9-ab51-662690f1c2a6	/css/style.css	GET
20230116	13:58:15	54fddd0d-4ea2-42df-8ee9-c262a9a107dd	/new-page	GET
20230116	13:58:15	a9ed607d-9c91-45eb-ac2b-8e33a268b025	/css/style.css	GET
20230116	13:58:15	fd8943b9-ecae-4d42-ad0f-4d85145f2e06	/img/img1.jpg	GET
20230116	13:58:25	b4f94815-0cb6-4a9d-be3c-6d18c886a44e	/new-page.htm;	GET
20230116	13:58:25	5e9debf9-7eea-498e-b8c9-efce9a75c15b	/css/style.css	GET
20230116	13:58:31	3e80267f-edf3-442b-87dd-1cad4e2eab29	/new-page.html	GET
20230116	13:58:31	a6196106-7e79-4a13-8321-d76b5623005b	/css/style.css	GET
20230116	13:58:31	d7cf5f13-7d98-4b81-af33-9c817aa8a168	/img/img1.jpg	GET
20230116	21:09:32	cbd4cdc9-df82-49b6-ab81-4102fe41dbf0	GET	null	/
20230116	21:12:35	c5cab1f0-7dc9-4f38-b299-e7327953d1c6	OPTIONS	https://www.google.com	/
20230116	21:12:35	f262bb2d-ab6a-4414-ad2d-fe541fcda027	GET	https://www.google.com	/
20230116	21:13:51	9e42a6b9-422c-4638-8c6c-ec0d76e941ea	OPTIONS	https://www.google.com	/
20230116	21:13:51	ee0a95fe-e366-4664-aeed-6313ee060343	GET	https://www.google.com	/
20230116	21:19:54	c942aa7a-cf19-4414-94e7-d708d5403680	GET	undefined	/
20230116	21:19:54	e4062b89-0e80-4d78-9e71-c294ef63ce71	GET	undefined	/css/style.css
20230116	21:19:54	9779f74f-b48b-42fd-9658-6688a72e36a0	GET	undefined	/favicon.ico
20230116	21:21:39	77f6db6a-dd84-4a41-9338-f65c87bd335e	OPTIONS	https://www.google.com	/
20230116	21:21:39	c10f6849-0d67-4f24-8f96-cd54317f69d4	GET	https://www.google.com	/
20230119	16:07:21	e485ff05-702c-415e-b046-22a20abf8abd	OPTIONS	https://www.google.com	/
20230119	16:07:21	e1e2099a-78f8-4cfb-bcd6-bb912e950cb1	GET	https://www.google.com	/
20230119	16:07:28	a0ca6f24-4039-4534-9db0-6a5b116480bb	OPTIONS	https://www.google.com	/
20230119	16:07:28	8a9c31fb-f537-4991-bf91-9bd206c2358c	GET	https://www.google.com	/
20230119	16:07:59	88bba4df-c7dc-49ff-889a-da5c17e5a74d	OPTIONS	https://www.google.com	/
